item_id	subject	defined_value	failure_policy	scope	authority	state
ID-PUBLIC-b261da33fecc7502297dafe9	NSR-DOM-038	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Typed infix statement profile additionally supports Int extents 1..64 (cross/parallel exactly 3), tensor result at most 64 lanes; native checked kernels, distinct owned results, ordered operands and explicit program return. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	linear:hadamard-right-scalar,linear:hadamard-right-float,linear:hadamard-right-bool,linear:hadamard-shape	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-038	DECLARED
ID-PUBLIC-201fd4d7f46be7faae6a4b25	NSR-DOM-039	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Typed infix statement profile additionally supports Int extents 1..64 (cross/parallel exactly 3), tensor result at most 64 lanes; native checked kernels, distinct owned results, ordered operands and explicit program return. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	linear:tensor-right-scalar,linear:tensor-right-float,linear:tensor-right-bool,linear:tensor-capacity	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-039	DECLARED
ID-PUBLIC-c7671f7444b6de888fef16e5	NSR-DOM-040	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-040-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-040	DECLARED
ID-PUBLIC-e5b3f118142127f104034823	NSR-DOM-041	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-041-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-041	DECLARED
ID-PUBLIC-1828590c4b38953450fce602	NSR-DOM-042	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-042-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-042	DECLARED
ID-PUBLIC-80b6f7336fbd2ab320bab736	NSR-DOM-043	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-043-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-043	DECLARED
ID-PUBLIC-bbc1f54c2ecda50b633e9475	NSR-DOM-044	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-044-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-044	DECLARED
ID-PUBLIC-2117900605500db30c488e04	NSR-DOM-045	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-045-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-045	DECLARED
ID-PUBLIC-6496e233343964b700bbe8a5	NSR-DOM-046	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-046-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-046	DECLARED
ID-PUBLIC-0f708c05a592cea86c9798a2	NSR-DOM-047	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Typed infix statement profile additionally supports Int extents 1..64 (cross/parallel exactly 3), tensor result at most 64 lanes; native checked kernels, distinct owned results, ordered operands and explicit program return. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	linear:orthogonal-right-scalar,linear:orthogonal-right-float,linear:orthogonal-right-bool,linear:orthogonal-shape	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-047	DECLARED
ID-PUBLIC-5831dd94bae09d6cb655a901	NSR-DOM-048	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Exact immutable Int Vector aggregate grammar, extent 1..4; matrix Int/Complex profile at most four logical cells; vector observers sum, checked rational inverse numerator/denominator, exact integer norm; symbolic/named parity; all source tokens consumed by the canonical current profile, without adjacent statements. Typed infix statement profile additionally supports Int extents 1..64 (cross/parallel exactly 3), tensor result at most 64 lanes; native checked kernels, distinct owned results, ordered operands and explicit program return. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	linear:parallel-right-scalar,linear:parallel-right-float,linear:parallel-right-bool,linear:parallel-shape,linear:parallel-not-three	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-048	DECLARED
ID-PUBLIC-a0f0c8e43beb532c974c8bbb	NSR-DOM-049	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-049-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-049	DECLARED
ID-PUBLIC-57d9b36a2f42c74436b04265	NSR-DOM-050	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-050-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-050	DECLARED
ID-PUBLIC-500eaa399db7165cb2120fdf	NSR-DOM-051	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-051-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-051	DECLARED
ID-PUBLIC-7acf68cdae99cd50c126f130	NSR-DOM-052	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-052-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-052	DECLARED
ID-PUBLIC-c7b9b9dd2560b3603daa32c0	NSR-DOM-053	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-053-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-053	DECLARED
ID-PUBLIC-eeca64d3406b6fae70ff9824	NSR-DOM-054	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-054-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-054	DECLARED
ID-PUBLIC-5d55df0a3fb03d6f2746948a	NSR-DOM-055	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-055-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-055	DECLARED
ID-PUBLIC-97f080720c6783e1b4891216	NSR-DOM-056	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-056-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-056	DECLARED
ID-PUBLIC-d21fbdab3cf3f5809df60a50	NSR-DOM-057	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit finite samples, dimensions, method, tolerance/step and budget in the current checked calculus grammar; exact rational/integer observations; no implicit integration domain, numeric truncation, live solver or hidden callback. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-057-negative,boundedoperator:dom-057-nonexact-ce94,boundedoperator:dom-057-nonexact-6c61706c616369616e	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-057	DECLARED
ID-PUBLIC-d74f74d56519b79b0de509a1	NSR-DOM-058	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit bounded model/distribution metadata and finite rational conditional probabilities; independence is an explicit model assumption, not an inferred statistical proof. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-058-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-058	DECLARED
ID-PUBLIC-eca42fdaaf7918e2f3b3063d	NSR-DOM-059	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit bounded model/distribution metadata and finite rational conditional probabilities; independence is an explicit model assumption, not an inferred statistical proof. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-059-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-059	DECLARED
ID-PUBLIC-40d84bd329e607b9f5dee6fc	NSR-DOM-060	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Explicit bounded model/distribution metadata and finite rational conditional probabilities; independence is an explicit model assumption, not an inferred statistical proof. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-060-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-060	DECLARED
ID-PUBLIC-1a958319ce7aace9f7b87188	NSR-DOM-061	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-061-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-061	DECLARED
ID-PUBLIC-744f23fdd2b2a03592ea03e4	NSR-DOM-062	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-062-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-062	DECLARED
ID-PUBLIC-e4cdd98bb926f37449f20739	NSR-DOM-063	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-063-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-063	DECLARED
ID-PUBLIC-513ac8c2e5fcf19b40ef5fc0	NSR-DOM-064	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-064-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-064	DECLARED
ID-PUBLIC-398fc8ee48fa57cc62d2d5a4	NSR-DOM-065	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-065-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-065	DECLARED
ID-PUBLIC-74baca4be1fe91110384bf89	NSR-DOM-066	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-066-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-066	DECLARED
ID-PUBLIC-21f1ee496b3477dacd9105da	NSR-DOM-067	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-067-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-067	DECLARED
ID-PUBLIC-26a32734429a1c429090b803	NSR-DOM-068	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-068-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-068	DECLARED
ID-PUBLIC-76910ae88dfb8eaa99d0b9c7	NSR-DOM-069	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Finite domain partition/result grammar, explicit proof/model status and budget; exhaustive Boolean truth tables; unknown and timeout remain distinct outcomes; this does not claim an automatic theorem prover. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-069-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-069	DECLARED
ID-PUBLIC-2eacff2619db46e7c6930ef3	NSR-DOM-070	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Bounded typed edge/transition descriptor and deterministic replay projection; explicit endpoints, schema, guard, effect and capability; no asynchronous external execution. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-070-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-070	DECLARED
ID-PUBLIC-b039a78654435a15221af218	NSR-DOM-071	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Bounded typed edge/transition descriptor and deterministic replay projection; explicit endpoints, schema, guard, effect and capability; no asynchronous external execution. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-071-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-071	DECLARED
ID-PUBLIC-90620273a192a184a35b1231	NSR-DOM-072	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Bounded typed edge/transition descriptor and deterministic replay projection; explicit endpoints, schema, guard, effect and capability; no asynchronous external execution. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-072-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-072	DECLARED
ID-PUBLIC-04f5a273d5a3f91ce0debbb0	NSR-DOM-073	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Bounded typed edge/transition descriptor and deterministic replay projection; explicit endpoints, schema, guard, effect and capability; no asynchronous external execution. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-073-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-073	DECLARED
ID-PUBLIC-536a10e214f5f9b85ef37889	NSR-DOM-074	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current Text/Pattern finite profile: UTF-8 concat and literal/dot Pattern matching with explicit mode/work budget; matched/negated values change with content, without a fixed operator report. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-074-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-074	DECLARED
ID-PUBLIC-7862e0aa9608310130b53570	NSR-DOM-075	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current Text/Pattern finite profile: UTF-8 concat and literal/dot Pattern matching with explicit mode/work budget; matched/negated values change with content, without a fixed operator report. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-075-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-075	DECLARED
ID-PUBLIC-a638cf9be5bf0b2f301f6c0b	NSR-DOM-076	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current Text/Pattern finite profile: UTF-8 concat and literal/dot Pattern matching with explicit mode/work budget; matched/negated values change with content, without a fixed operator report. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-076-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-076	DECLARED
ID-PUBLIC-c973eecc55bc2512680f3162	NSR-DOM-077	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Checked format/interpolation profile; 64 segments; finite text/output budgets; pure interpolation	interpolation:tooling-format-invalid,composite:typed-struct-interpolation-effects	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-077	DECLARED
ID-PUBLIC-6ac2d489f76ce86c2f2ee354	NSR-DOM-078	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Checked format/interpolation profile; 64 segments; finite text/output budgets; pure interpolation	format:wrong-type,format:unknown	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-078	DECLARED
ID-PUBLIC-bd5accdc2e3b1927beedc8a0	NSR-DOM-079	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Actual typed RenderPlan(Text).render(contextual target) consumes all source statements. The existing native Slash parser and two-pass renderer own 64 finite directives, 4096 input bytes, 256 aggregate tokens, depth 16 and 32 argument bytes. Target output is an owned Text projection; its separate Console publication is observed. Unknown directives and overflowing plans fail closed. Independent G064 grammar/render oracle, actual contents, two live plans and explicit returns replace the old template metadata/seed profile. Checked format/interpolation profile; 64 segments; finite text/output budgets; pure interpolation	slash:constructor-type,slash:target-unknown,slash:status-type,slash:domain-unknown,slash:domain-depth,slash:domain-tokens	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-079	DECLARED
ID-PUBLIC-d18248265a853fd2be4df7d2	NSR-DOM-080	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Current annotation registry with typed version/level/enabled arguments, targets and bounded seed/privacy; actual argument values and masks are observed; no claim of arbitrary annotation evaluation. Native checked scalar/vector mathematics; independent numeric oracle; explicit process return separate from intermediate value	boundedoperator:dom-080-negative	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-DOM-080	DECLARED
ID-PUBLIC-e80b9356f92e4378c18ecd2b	NSR-UA-001	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-e28892	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-001	DECLARED
ID-PUBLIC-5089e2a54adf09edce38f95a	NSR-UA-002	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-c3b7	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-002	DECLARED
ID-PUBLIC-f9a0813cc78a9c23a2eea370	NSR-UA-003	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-e289a4	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-003	DECLARED
ID-PUBLIC-84bb1a16d53b495e3c9ebb2e	NSR-UA-004	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-e289a5	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-004	DECLARED
ID-PUBLIC-5c1c2e9b0038cf22b6c426b7	NSR-UA-005	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-e289a0	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-005	DECLARED
ID-PUBLIC-d121ee02286a0c279b1e379e	NSR-UA-006	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-logic-int	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-006	DECLARED
ID-PUBLIC-9e35367d55773c1c7e0069f6	NSR-UA-007	Exact Registry token and real Program statements; independent value/document/exit oracles, changed operands, associated negatives; Int64/Bool/binary64 or the referenced public typed profile; native checked arithmetic and complete source statement ownership. Int64/Bool/binary64/Unicode scalar values; checked arithmetic; lexical evaluation once	operator:wrong-logic-int	STABLE_PUBLIC_PROFILE	sdk/contracts/stdlib/STDLIB-STABLE-CATALOG.tsv#NSR-UA-007	DECLARED
