canonical_identity	code	native_id	severity	phase	message	span_contract	machine_formats	exit_contract	compatibility
native-catalog:NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-RUNTIME-005	NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-RUNTIME-005	69	1	11	ownership lifetime or exact-cleanup runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-SECURITY-006	NEBO-MEMORIA-OWNERSHIP-LIFETIMES-E-RECURSOS-SECURITY-006	70	1	14	borrow exclusivity region token or use-after-move check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-LEX-001	NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-LEX-001	71	1	3	unknown or non-canonical module import or visibility name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-PARSE-002	NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-PARSE-002	72	1	4	malformed module package import symbol or visibility syntax	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-TYPE-003	NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-TYPE-003	73	1	6	module package import or symbol identity is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-CODEGEN-004	NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-CODEGEN-004	74	1	10	module import resolution is unavailable before IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-RUNTIME-005	NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-RUNTIME-005	75	1	11	module initialization or import graph runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-SECURITY-006	NEBO-IMPORTS-MODULOS-NAMESPACES-E-API-PUBLICA-SECURITY-006	76	1	14	module cycle visibility boundary or graph integrity check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-LEX-001	NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-LEX-001	77	1	3	unknown or non-canonical package manifest or policy name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-PARSE-002	NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-PARSE-002	78	1	4	malformed package dependency version digest or policy syntax	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-TYPE-003	NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-TYPE-003	79	1	6	package dependency version or digest identity is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-CODEGEN-004	NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-CODEGEN-004	80	1	10	package lock resolution is unavailable before PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-RUNTIME-005	NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-RUNTIME-005	81	1	11	package lock resolution or replay runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-SECURITY-006	NEBO-PACKAGES-REGISTRY-LOCKFILE-E-SUPPLY-CHAIN-SECURITY-006	82	1	14	package digest policy or lock integrity check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-LEX-001	NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-LEX-001	83	1	3	unknown or non-canonical std.math namespace or operation name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-PARSE-002	NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-PARSE-002	84	1	4	malformed std.math call arguments punctuation or terminator	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-TYPE-003	NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-TYPE-003	85	1	6	std.math signed Int operand or clamp domain is invalid	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-CODEGEN-004	NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-CODEGEN-004	86	1	10	std.math code generation is unavailable before BIBLIOTECA-PADRAO-POR-DOMINIOS-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-RUNTIME-005	NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-RUNTIME-005	87	1	11	std.math evaluation or signed domain invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-SECURITY-006	NEBO-BIBLIOTECA-PADRAO-POR-DOMINIOS-SECURITY-006	88	1	14	std.math request integrity or bounded purity check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-FILESYSTEM-PATHS-E-FORMATOS-LEX-001	NEBO-FILESYSTEM-PATHS-E-FORMATOS-LEX-001	89	1	3	unknown or non-canonical path namespace or query name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-FILESYSTEM-PATHS-E-FORMATOS-PARSE-002	NEBO-FILESYSTEM-PATHS-E-FORMATOS-PARSE-002	90	1	4	malformed lexical path query punctuation quotes or terminator	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-FILESYSTEM-PATHS-E-FORMATOS-TYPE-003	NEBO-FILESYSTEM-PATHS-E-FORMATOS-TYPE-003	91	1	6	lexical path text is empty non-canonical or outside the bounded profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-FILESYSTEM-PATHS-E-FORMATOS-CODEGEN-004	NEBO-FILESYSTEM-PATHS-E-FORMATOS-CODEGEN-004	92	1	10	lexical path code generation is unavailable before FILESYSTEM-PATHS-E-FORMATOS-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-FILESYSTEM-PATHS-E-FORMATOS-RUNTIME-005	NEBO-FILESYSTEM-PATHS-E-FORMATOS-RUNTIME-005	93	1	11	lexical path runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-FILESYSTEM-PATHS-E-FORMATOS-SECURITY-006	NEBO-FILESYSTEM-PATHS-E-FORMATOS-SECURITY-006	94	1	14	path traversal or authenticated lexical summary integrity check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-REDE-E-PROTOCOLOS-LEX-001	NEBO-REDE-E-PROTOCOLOS-LEX-001	95	1	3	unknown or non-canonical net namespace or port operation name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-REDE-E-PROTOCOLOS-PARSE-002	NEBO-REDE-E-PROTOCOLOS-PARSE-002	96	1	4	malformed decimal network-port punctuation quotes or terminator	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-REDE-E-PROTOCOLOS-TYPE-003	NEBO-REDE-E-PROTOCOLOS-TYPE-003	97	1	6	decimal network port is empty invalid or outside 1 through 65535	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-REDE-E-PROTOCOLOS-CODEGEN-004	NEBO-REDE-E-PROTOCOLOS-CODEGEN-004	98	1	10	network-port code generation is unavailable before REDE-E-PROTOCOLOS-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-REDE-E-PROTOCOLOS-RUNTIME-005	NEBO-REDE-E-PROTOCOLOS-RUNTIME-005	99	1	11	network-port runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-REDE-E-PROTOCOLOS-SECURITY-006	NEBO-REDE-E-PROTOCOLOS-SECURITY-006	100	1	14	ambiguous port spelling or authenticated summary integrity check failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-LEX-001	NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-LEX-001	101	1	3	unknown or non-canonical visual namespace or summary operation name	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-PARSE-002	NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-PARSE-002	102	1	4	malformed visual summary punctuation argument or terminator	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-TYPE-003	NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-TYPE-003	103	1	6	visual summary value is not an integer from 0 through 255	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-CODEGEN-004	NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-CODEGEN-004	104	1	10	visual summary code generation is unavailable before CONSOLE-VISUAL-DASHBOARD-E-PLOTS-PF005	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-RUNTIME-005	NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-RUNTIME-005	105	1	11	visual summary runtime invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-SECURITY-006	NEBO-CONSOLE-VISUAL-DASHBOARD-E-PLOTS-SECURITY-006	106	1	14	non-canonical integer spelling or authenticated summary integrity failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-LEX-001	NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-LEX-001	107	1	3	unsupported synthetic media descriptor spelling	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-PARSE-002	NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-PARSE-002	108	1	4	malformed synthetic media descriptor or inconsistent extent	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-TYPE-003	NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-TYPE-003	109	1	6	media dimensions rate channels or duration are outside the bounded profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-CODEGEN-004	NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-CODEGEN-004	110	1	10	public synthetic media code generation is not part of the internal profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-RUNTIME-005	NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-RUNTIME-005	111	1	11	synthetic media resource bound or declared extent was truncated	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-SECURITY-006	NEBO-MEDIA-IMAGEM-AUDIO-E-VIDEO-SECURITY-006	112	1	14	media privacy capability or authenticated descriptor invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-LEX-001	NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-LEX-001	113	1	3	unsupported bounded ML profile spelling	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-PARSE-002	NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-PARSE-002	114	1	4	malformed bounded affine-forward descriptor	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-TYPE-003	NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-TYPE-003	115	1	6	shape dtype or scalar is outside the local deterministic profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-CODEGEN-004	NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-CODEGEN-004	116	1	10	public ML code generation is outside the internal profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-RUNTIME-005	NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-RUNTIME-005	117	1	11	affine-forward budget or arithmetic bound failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-SECURITY-006	NEBO-MACHINE-LEARNING-NEURON-NETWORK-E-MODEL-SECURITY-006	118	1	14	weights lineage privacy ownership device or seal invariant failed	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-GPU-E-COMPUTACAO-ACELERADA-LEX-001	NEBO-GPU-E-COMPUTACAO-ACELERADA-LEX-001	119	1	3	GPU syntax is unavailable in the research-only profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-GPU-E-COMPUTACAO-ACELERADA-PARSE-002	NEBO-GPU-E-COMPUTACAO-ACELERADA-PARSE-002	120	1	4	GPU constructs are unavailable in the research-only profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-GPU-E-COMPUTACAO-ACELERADA-TYPE-003	NEBO-GPU-E-COMPUTACAO-ACELERADA-TYPE-003	121	1	6	GPU types are unavailable in the research-only profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-GPU-E-COMPUTACAO-ACELERADA-CODEGEN-004	NEBO-GPU-E-COMPUTACAO-ACELERADA-CODEGEN-004	122	1	10	no GPU backend or toolchain is certified	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-GPU-E-COMPUTACAO-ACELERADA-RUNTIME-005	NEBO-GPU-E-COMPUTACAO-ACELERADA-RUNTIME-005	123	1	11	no GPU runtime is certified	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-GPU-E-COMPUTACAO-ACELERADA-SECURITY-006	NEBO-GPU-E-COMPUTACAO-ACELERADA-SECURITY-006	124	1	14	GPU capability is denied by the research-only profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-RUNTIME-DISTRIBUIDO-E-STREAMING-DISTRIBUIDO-LEX-001	NEBO-RUNTIME-DISTRIBUIDO-E-STREAMING-DISTRIBUIDO-LEX-001	125	1	3	unsupported local queue simulation spelling	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-RUNTIME-DISTRIBUIDO-E-STREAMING-DISTRIBUIDO-PARSE-002	NEBO-RUNTIME-DISTRIBUIDO-E-STREAMING-DISTRIBUIDO-PARSE-002	126	1	4	malformed local queue simulation descriptor	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
native-catalog:NEBO-RUNTIME-DISTRIBUIDO-E-STREAMING-DISTRIBUIDO-TYPE-003	NEBO-RUNTIME-DISTRIBUIDO-E-STREAMING-DISTRIBUIDO-TYPE-003	127	1	6	queue capacity retry or timeout field is outside the local profile	UTF8 byte half-open; LSP UTF16 conversion	JSON-lines schema 1; SARIF 2.1.0 properties.neboSchema=1; LSP data.schema=1	source error=1; usage/environment=2; internal=101; success=0	Code not reused; severity phase span encoding and field types frozen; message interpolation values may vary
